starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 25 15:34:44 2012	1335335684	9	0	9	0
Wed Apr 25 15:34:44 2012	1335335684	9	0	9	0
Wed Apr 25 15:34:44 2012	1335335684	9	0	9	0
Wed Apr 25 15:34:44 2012	1335335684	9	0	9	0
Wed Apr 25 15:34:44 2012	1335335684	9	0	9	0
Wed Apr 25 15:34:44 2012	1335335684	9	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	10	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	10	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	11	0	11	0
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	7	11	7
Wed Apr 25 15:34:44 2012	1335335684	4	8	11	7
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	7
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	7
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	7
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	8	11	8
Wed Apr 25 15:34:44 2012	1335335684	3	10	13	10
Wed Apr 25 15:34:44 2012	1335335684	3	10	13	10
Wed Apr 25 15:34:44 2012	1335335684	3	10	13	10
Wed Apr 25 15:34:44 2012	1335335684	3	11	14	10
Wed Apr 25 15:34:44 2012	1335335684	3	11	14	10
Wed Apr 25 15:34:44 2012	1335335684	3	11	14	11
