starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 18:04:53 2012	1335258293	4	0	4	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	4	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	4	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	5	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	5	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	5	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	5	0	5	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	5	1	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	6	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	6	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	7	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	7	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	7	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	7	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	7	0	7	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
Tue Apr 24 18:04:53 2012	1335258293	8	0	8	0
