starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 20:44:32 2012	1335267872	4	3	7	2
Tue Apr 24 20:44:32 2012	1335267872	4	4	8	2
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	2
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	2
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	2
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	8	0
Tue Apr 24 20:44:32 2012	1335267872	8	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	7	2	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	0
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	0
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	0
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	0
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	0
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	2
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	9	0	9	1
Tue Apr 24 20:44:32 2012	1335267872	7	2	9	2
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	9	4
Tue Apr 24 20:44:32 2012	1335267872	4	5	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	10	0	10	2
Tue Apr 24 20:44:32 2012	1335267872	10	0	10	0
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	10	0	10	0
Tue Apr 24 20:44:32 2012	1335267872	10	0	10	0
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	10	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	11	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	11	4
Tue Apr 24 20:44:32 2012	1335267872	4	6	11	4
Tue Apr 24 20:44:32 2012	1335267872	10	1	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	10	1	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	8	3	11	2
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	11	1
Tue Apr 24 20:44:32 2012	1335267872	11	0	12	2
Tue Apr 24 20:44:32 2012	1335267872	12	0	12	1
Tue Apr 24 20:44:32 2012	1335267872	8	3	12	2
Tue Apr 24 20:44:32 2012	1335267872	12	0	12	1
Tue Apr 24 20:44:32 2012	1335267872	12	0	12	0
Tue Apr 24 20:44:32 2012	1335267872	4	7	12	6
Tue Apr 24 20:44:32 2012	1335267872	4	8	12	6
Tue Apr 24 20:44:32 2012	1335267872	4	8	12	6
Tue Apr 24 20:44:32 2012	1335267872	4	8	12	6
Tue Apr 24 20:44:32 2012	1335267872	4	8	12	6
Tue Apr 24 20:44:32 2012	1335267872	4	8	12	6
Tue Apr 24 20:44:32 2012	1335267872	5	8	12	7
Tue Apr 24 20:44:32 2012	1335267872	5	8	12	7
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	13	0	13	0
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	13	0	13	1
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	5	8	13	7
Tue Apr 24 20:44:32 2012	1335267872	13	1	14	0
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	0
Tue Apr 24 20:44:32 2012	1335267872	13	1	14	0
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	0
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	1
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	1
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	1
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	1
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	1
Tue Apr 24 20:44:32 2012	1335267872	5	10	14	8
Tue Apr 24 20:44:32 2012	1335267872	14	0	14	0
Tue Apr 24 20:44:32 2012	1335267872	5	10	14	8
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	8
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	8
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	14	1	15	0
Tue Apr 24 20:44:32 2012	1335267872	15	0	15	0
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	14	1	15	0
Tue Apr 24 20:44:32 2012	1335267872	15	0	15	0
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	15	0	15	1
Tue Apr 24 20:44:32 2012	1335267872	5	10	15	9
Tue Apr 24 20:44:32 2012	1335267872	15	0	15	1
Tue Apr 24 20:44:32 2012	1335267872	5	11	16	9
Tue Apr 24 20:44:32 2012	1335267872	16	0	16	1
Tue Apr 24 20:44:32 2012	1335267872	16	0	16	1
Tue Apr 24 20:44:32 2012	1335267872	16	0	16	1
Tue Apr 24 20:44:32 2012	1335267872	5	11	16	9
