starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 17:59:42 2012	1335257982	6	0	6	0
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	5	2	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	5	1	7	1
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	7	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	7	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	8	0	8	0
Tue Apr 24 17:59:42 2012	1335257982	4	4	8	4
Tue Apr 24 17:59:42 2012	1335257982	4	4	8	4
Tue Apr 24 17:59:42 2012	1335257982	4	4	8	4
Tue Apr 24 17:59:42 2012	1335257982	9	0	9	0
Tue Apr 24 17:59:42 2012	1335257982	9	0	9	2
Tue Apr 24 17:59:42 2012	1335257982	9	0	9	2
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	4	5	9	4
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	4	6	10	5
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	2
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	1
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	9	1	10	1
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	0	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	10	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	10	0
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	4	7	11	6
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	1	11	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	1
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	4	8	11	7
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	1
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	10	2	11	1
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	10	2	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	10	2	11	1
Tue Apr 24 17:59:42 2012	1335257982	10	2	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	10	1	11	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	11	0	11	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	10	2	12	1
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	10	2	12	1
Tue Apr 24 17:59:42 2012	1335257982	11	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	12	1
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	12	1
Tue Apr 24 17:59:42 2012	1335257982	10	2	12	1
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	10	1	12	1
Tue Apr 24 17:59:42 2012	1335257982	10	1	12	1
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	11	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	0
Tue Apr 24 17:59:42 2012	1335257982	12	0	12	2
