starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 17:49:52 2012	1335257392	5	3	7	2
Tue Apr 24 17:49:52 2012	1335257392	5	2	7	1
Tue Apr 24 17:49:52 2012	1335257392	4	3	8	3
Tue Apr 24 17:49:52 2012	1335257392	5	3	8	3
Tue Apr 24 17:49:52 2012	1335257392	5	4	8	3
Tue Apr 24 17:49:52 2012	1335257392	5	4	9	3
Tue Apr 24 17:49:52 2012	1335257392	5	4	9	3
Tue Apr 24 17:49:52 2012	1335257392	5	5	9	4
Tue Apr 24 17:49:52 2012	1335257392	5	5	10	5
Tue Apr 24 17:49:52 2012	1335257392	5	6	10	5
Tue Apr 24 17:49:52 2012	1335257392	5	6	11	6
Tue Apr 24 17:49:52 2012	1335257392	5	6	11	6
Tue Apr 24 17:49:52 2012	1335257392	5	7	12	7
Tue Apr 24 17:49:52 2012	1335257392	5	8	13	7
Tue Apr 24 17:49:52 2012	1335257392	5	8	13	7
Tue Apr 24 17:49:52 2012	1335257392	5	9	14	8
Tue Apr 24 17:49:52 2012	1335257392	5	9	14	8
Tue Apr 24 17:49:52 2012	1335257392	5	9	14	8
Tue Apr 24 17:49:52 2012	1335257392	5	10	15	9
Tue Apr 24 17:49:52 2012	1335257392	5	10	15	9
Tue Apr 24 17:49:52 2012	1335257392	5	11	16	10
Tue Apr 24 17:49:52 2012	1335257392	5	11	16	10
Tue Apr 24 17:49:52 2012	1335257392	5	11	16	10
Tue Apr 24 17:49:52 2012	1335257392	5	12	17	11
Tue Apr 24 17:49:52 2012	1335257392	5	12	17	11
Tue Apr 24 17:49:52 2012	1335257392	5	13	18	12
Tue Apr 24 17:49:52 2012	1335257392	5	13	18	12
Tue Apr 24 17:49:52 2012	1335257392	5	14	19	13
Tue Apr 24 17:49:52 2012	1335257392	5	14	19	13
Tue Apr 24 17:49:52 2012	1335257392	5	14	19	14
Tue Apr 24 17:49:52 2012	1335257392	5	14	20	14
Tue Apr 24 17:49:52 2012	1335257392	5	15	20	14
Tue Apr 24 17:49:52 2012	1335257392	5	15	20	14
Tue Apr 24 17:49:52 2012	1335257392	5	15	20	14
Tue Apr 24 17:49:52 2012	1335257392	5	16	21	15
Tue Apr 24 17:49:52 2012	1335257392	5	16	21	15
Tue Apr 24 17:49:52 2012	1335257392	5	17	22	16
Tue Apr 24 17:49:52 2012	1335257392	5	17	22	16
Tue Apr 24 17:49:52 2012	1335257392	5	17	23	16
Tue Apr 24 17:49:52 2012	1335257392	5	18	23	17
Tue Apr 24 17:49:52 2012	1335257392	6	19	24	18
Tue Apr 24 17:49:52 2012	1335257392	6	19	24	18
Tue Apr 24 17:49:52 2012	1335257392	6	20	25	19
Tue Apr 24 17:49:52 2012	1335257392	6	20	25	19
Tue Apr 24 17:49:52 2012	1335257392	6	20	26	20
Tue Apr 24 17:49:52 2012	1335257392	6	20	26	20
Tue Apr 24 17:49:52 2012	1335257392	6	21	26	20
Tue Apr 24 17:49:52 2012	1335257392	6	21	27	21
Tue Apr 24 17:49:52 2012	1335257392	6	21	27	21
Tue Apr 24 17:49:52 2012	1335257392	6	22	28	21
Tue Apr 24 17:49:52 2012	1335257392	6	22	28	22
Tue Apr 24 17:49:52 2012	1335257392	6	22	28	22
Tue Apr 24 17:49:52 2012	1335257392	29	0	29	0
Tue Apr 24 17:49:52 2012	1335257392	29	0	30	0
Tue Apr 24 17:49:52 2012	1335257392	29	0	30	0
Tue Apr 24 17:49:52 2012	1335257392	30	0	30	0
Tue Apr 24 17:49:52 2012	1335257392	30	0	31	0
Tue Apr 24 17:49:52 2012	1335257392	11	21	31	20
Tue Apr 24 17:49:52 2012	1335257392	11	21	32	20
Tue Apr 24 17:49:52 2012	1335257392	13	19	32	18
Tue Apr 24 17:49:52 2012	1335257392	12	21	33	20
Tue Apr 24 17:49:52 2012	1335257392	12	21	34	21
Tue Apr 24 17:49:52 2012	1335257392	16	18	34	17
Tue Apr 24 17:49:52 2012	1335257392	15	20	35	19
Tue Apr 24 17:49:52 2012	1335257392	16	19	35	18
Tue Apr 24 17:49:52 2012	1335257392	17	19	36	18
Tue Apr 24 17:49:52 2012	1335257392	19	17	36	16
Tue Apr 24 17:49:52 2012	1335257392	18	18	36	17
Tue Apr 24 17:49:52 2012	1335257392	18	18	37	18
Tue Apr 24 17:49:52 2012	1335257392	20	17	37	16
Tue Apr 24 17:49:52 2012	1335257392	21	17	38	16
Tue Apr 24 17:49:52 2012	1335257392	22	16	38	16
Tue Apr 24 17:49:52 2012	1335257392	22	16	38	16
Tue Apr 24 17:49:52 2012	1335257392	22	16	39	16
Tue Apr 24 17:49:52 2012	1335257392	24	15	39	14
Tue Apr 24 17:49:52 2012	1335257392	24	16	39	15
Tue Apr 24 17:49:52 2012	1335257392	25	14	40	14
Tue Apr 24 17:49:52 2012	1335257392	26	13	40	13
Tue Apr 24 17:49:52 2012	1335257392	27	13	40	13
Tue Apr 24 17:49:52 2012	1335257392	31	9	41	9
Tue Apr 24 17:49:52 2012	1335257392	27	14	41	14
Tue Apr 24 17:49:52 2012	1335257392	42	0	42	0
Tue Apr 24 17:49:52 2012	1335257392	28	14	42	13
Tue Apr 24 17:49:52 2012	1335257392	29	13	42	12
Tue Apr 24 17:49:52 2012	1335257392	30	13	43	12
Tue Apr 24 17:49:52 2012	1335257392	32	12	44	11
Tue Apr 24 17:49:52 2012	1335257392	34	10	44	9
Tue Apr 24 17:49:52 2012	1335257392	34	11	45	10
Tue Apr 24 17:49:52 2012	1335257392	35	10	45	9
Tue Apr 24 17:49:52 2012	1335257392	36	10	46	9
Tue Apr 24 17:49:52 2012	1335257392	38	8	46	7
Tue Apr 24 17:49:52 2012	1335257392	37	10	47	9
Tue Apr 24 17:49:52 2012	1335257392	37	10	47	9
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	40	8	48	8
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	1
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	48	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	1	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	1
Tue Apr 24 17:49:52 2012	1335257392	39	10	49	9
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	48	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	40	9	49	8
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	41	8	49	7
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	43	6	49	5
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	42	7	49	6
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	1
Tue Apr 24 17:49:52 2012	1335257392	49	0	49	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	1
Tue Apr 24 17:49:52 2012	1335257392	49	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	1
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	49	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	1
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	1
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	50	0
Tue Apr 24 17:49:52 2012	1335257392	50	0	51	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	51	0
Tue Apr 24 17:49:52 2012	1335257392	50	1	51	0
